Address,BBL,BIN,CouncilDist,DropOff_SiteName,Latitude,Longitude,NTAName,Number,ObjectId,Street,Zipcode,boroCD,ct2010,point
3718 Nostrand Ave,3074221006.0,3000000,48,Salvation Army Thrift Store,40.59301394,-73.94046645,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3718,52,NOSTRAND AVE,11235,315,59402,POINT (-73.94046644999997 40.59301394000005)
1280 Lexington Ave,1015157502.0,1047955,4,Best Buy,40.779602,-73.955519,Upper East Side-Carnegie Hill,1280,8,LEXINGTON AVE,10028,108,14802,POINT (-73.955519 40.779602)
401 W 14 St,1007120029.0,1012535,3,Apple Store,40.74108522,-74.00566562,Hudson Yards-Chelsea-Flatiron-Union Square,401,55,W 14 ST,10014,104,83,POINT (-74.00566561999995 40.74108522000006)
512 181 St,1021520070.0,1063615,10,Goodwill Thrift Shop,40.84837844,-73.93151251,Washington Heights North,512,69,181 ST,10033,112,269,POINT (-73.93151250999995 40.84837844000003)
2535 Richmond Ave,5024000015.0,5132232,51,Staples,40.58683181,-74.16833762,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2535,40,RICHMOND AVE,10314,502,27702,POINT (-74.16833762 40.586831810000035)
535 Morgan Ave,3028170001.0,3259425,34,Staples,40.72251735,-73.93888966,East Williamsburg,535,72,MORGAN AVE,11222,301,449,POINT (-73.93888965999997 40.72251735000003)
776 8 Ave,1010190001.0,1086225,3,Staples,40.76064373,-73.98729012,Midtown-Midtown South,776,87,8 AVE,10036,105,125,POINT (-73.98729011999995 40.76064373000003)
1880 Broadway,1011147503.0,1087510,3,Best Buy,40.77044726,-73.98212557,Lincoln Square,1880,20,BROADWAY,10023,107,145,POINT (-73.98212556999994 40.770447260000026)
2359 Jerome Ave,2031980081.0,2014279,14,Salvation Army Thrift Store,40.86011891,-73.90283962,Fordham South,2359,37,JEROME AVE,10468,207,239,POINT (-73.90283961999995 40.86011891000004)
14815 Archer Ave,4099960012.0,4213986,27,Salvation Army Thrift Store,40.70100185,-73.8058544,Jamaica,148-15,13,ARCHER AVE,11435,412,212,POINT (-73.80585439999999 40.70100185000007)
4320 Broadway,1021670001.0,1081882,10,Staples,40.85215427,-73.93471486,Washington Heights North,4320,59,BROADWAY,10033,112,271,POINT (-73.93471485999999 40.85215427000003)
500 8 Ave,1007850001.0,1014421,3,Staples,40.75294246,-73.99290408,Midtown-Midtown South,500,65,8 AVE,10018,105,109,POINT (-73.99290408 40.75294246000004)
2795 Richmond Ave,5024400002.0,5108454,51,Best Buy,40.57855711,-74.16959473,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2795,44,RICHMOND AVE,10314,502,27702,POINT (-74.16959472999997 40.57855711000008)
5812 Queens Blvd,4023137501.0,4454475,26,Staples,40.74182755,-73.90728124,Woodside,58-12,76,QUEENS BLVD,11377,402,245,POINT (-73.90728123999999 40.74182755000004)
9030 Metropolitan Ave,4038840034.0,4095021,29,Staples,40.7117373,-73.85911433,Glendale,90-30,91,METROPOLITAN AVE,11374,406,637,POINT (-73.85911432999995 40.711737300000046)
16 E 34 St,1008630013.0,1017077,4,Staples,40.74814648,-73.98388916,Midtown-Midtown South,16,16,E 34 ST,10016,105,74,POINT (-73.98388915999995 40.74814648000006)
1011 Flatbush Ave,3051260001.0,3117671,40,Staples,40.64666594,-73.9581013,Erasmus,1011,1,FLATBUSH AVE,11226,314,794,POINT (-73.95810129999995 40.646665940000055)
3402 Steinway St,4006720025.0,4010902,26,Salvation Army Thrift Store,40.75643167,-73.92108172,Astoria,34-02,48,STEINWAY ST,11101,401,157,POINT (-73.92108171999996 40.75643167000004)
622 Broadway,1005220005.0,1080049,1,Best Buy,40.72596445,-73.99630916,West Village,622,80,BROADWAY,10012,102,5502,POINT (-73.99630915999995 40.72596445000005)
2053 Clove Rd,5029210016.0,5107464,50,Salvation Army Thrift Store,40.60464196,-74.08419123,Grasmere-Arrochar-Ft. Wadsworth,2053,27,CLOVE RD,10304,502,50,POINT (-74.08419122999999 40.60464196000004)
220 E 23 St,1009030047.0,1088660,2,Goodwill Thrift Shop,40.73854788,-73.98249498,Gramercy,220,33,E 23 ST,10010,106,64,POINT (-73.98249497999996 40.738547880000056)
1114 1 Ave,1014560001.0,1045279,5,Goodwill Thrift Shop,40.76094798,-73.96098941,Lenox Hill-Roosevelt Island,1114,5,1 AVE,10065,108,10602,POINT (-73.96098940999997 40.760947980000026)
13401 20 Ave,4041380050.0,4564816,19,Staples,40.78166274,-73.83444128,Whitestone,134-01,12,20 AVE,11356,407,945,POINT (-73.83444127999996 40.78166274000006)
