Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Hours_from,Hours_to,Latitude,Location,Longitude,NTAName,Notes,ObjectId,Operation_Day,Open_Months,Serviced_by,Website,boroCD,ct2010,point,zip_code
Manhattan,2,Commuter Composting at 1st Ave and 1st St.,11am,8am,40.72293472290039,First Avenue between Houston and First Street (West Side),-73.98863983154297,Chinatown,,,Monday,Year Round,NYC Compost Project,www.lesecologycenter.org,103,3001,POINT (-73.98863936999999 40.72293374000003),10002
Bronx,17,The Point CDC,6pm,10am,40.81822204589844,940 Garrison Avenue,-73.89046478271484,Hunts Point,,,Monday,Year Round,The Point CDC,thepoint.org,202,2005,POINT (-73.890465 40.818221),10474
Queens,20,Queens Botanical Garden Public Food Scrap Drop-Off,"4:30 PM(Nov-Mar),06:00PM(Apr-Oct)",08:00 AM,40.751731872558594,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",-73.83000183105469,Flushing,,,Sundays,Year Round,NYC Compost Project,https://queensbotanical.org,407,1004,POINT (-73.83000300000002 40.751732000000004),11355
Queens,25,JH Scraps,01:00 PM,11:00 AM,40.74986267089844,35-20 69th Street,-73.89630126953125,Jackson Heights,,,Saturdays,Year Round,JH Scraps,,403,4001,POINT (-73.896299 40.749864),11377
Manhattan,4,OPEN FOR SEASON: Bryant Park,2:30pm,12:30pm,40.75417709350586,6th Avenue and 41st Sreet,-73.9845962524414,Midtown-Midtown South,"For schedule, holiday, and inclement weather updates, please visit: http://bryantpark.org/programs/waste-sorting-concierge",,Thursday,"Seasonal, May-November",Bryant Park Corporation,http://bryantpark.org/programs/waste-sorting-concierge,105,84,POINT (-73.98459513999995 40.75417679000004),10018
Manhattan,9,Garden of Love,6pm,4pm,40.80439758300781,302 West 116 Street,-73.95604705810547,Central Harlem South,,,Thursday,Year Round,Garden of Love,,110,2000,POINT (-73.956048 40.804396),10026
Manhattan,3,Abingdon Square Greenmarket,1pm,8am,40.737548828125,"West 12 Street and 8 Avenue,New York,NY,10014",-74.00482940673828,West Village,,,Saturday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,102,77,POINT (-74.00482815 40.73754728000006),10014
Brooklyn,40,Parkside,10:00 AM,07:30 AM,40.65488052368164,"Ocean Ave & Parkside Ave, Brooklyn, NY 11226",-73.96188354492188,park-cemetery-etc-Brooklyn,,,Thursdays,Year Round,GrowNYC,https://www.grownyc.org/greenmarket/brooklyn/parkside,314,50803,POINT (-73.96188034999994 40.65488239000007),11226
Brooklyn,42,OPEN FOR SEASON: Pink Houses Community Farm,12:00 PM,10:00 AM,40.66829299926758,1257 Loring Avenue,-73.86444091796875,East New York,,,Tuesdays,"Seasonal Market, June-November",East New York Farms!,https://ucceny.org/enyf/,305,1000,POINT (-73.86444 40.668292),11208
Queens,26,Sunny Compost,04:00 PM,02:00 PM,40.75004577636719,"38-63-38-1 50th St, Woodside, NY 11377",-73.91375732421875,Hunters Point-Sunnyside-West Maspeth,,,Sundays,Year Round,Sunny Compost,www.sunnycompost.org,402,169,POINT (-73.91375400000001 40.750044),11104
